 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
bib_MZUSP87592	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MCNR445	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MCNR522	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MCNR3277	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MCNR3557	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MZUSP5366	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MZUSP10410	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MZUSP29698	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MZUSP39522	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_MZUSP42778	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_CHUNB36171	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bil_CHUNB36172	0.003571429	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
